Food Item,Minimum Temp. (in degree C),Maximum Temp. (in degree C),Min. Time period (in days),Max. Time period (in days)
Apple,20,25,7,21
Apricot,20,25,2,5
Avocado,20,25,3,5
Bael,20,25,5,7
Banana,20,25,2,7
Ber,20,25,2,5
Date Palm,20,25,7,14
Grape,20,25,5,14
Guava,20,25,3,5
Jackfruit,20,25,3,5
Jamun,20,25,2,5
Karonda,20,25,3,7
Kiwi,20,25,7,14
Lemons,20,25,21,30
Limes,20,25,21,30
Litchi,20,25,2,5
Mandarin Orange,20,25,14,21
Mango,20,25,2,5
Papaya,20,25,3,5
Peach,20,25,2,5
Pear,20,25,3,5
Phalsa,20,25,1,3
Pineapple,20,25,2,5
Pomegranate,20,25,7,14
Strawberry,20,25,2,5
Aonla,20,25,7,14
Amaranthus,20,25,1,2
Ash Gourd,20,25,7,14
Beet Root,20,25,14,21
Bitter Gourd,20,25,3,5
Bottle Gourd,20,25,7,14
Brinjal,20,25,3,5
Broccoli,20,25,7,10
Cabbage,20,25,7,14
Cauliflower,20,25,7,10
Capsicum,20,25,5,10
Carrot,20,25,14,21
Cowpea,20,25,1,3
Cucumber,20,25,5,7
French Bean,20,25,5,7
Garlic,20,25,60,180
Lettuce,20,25,3,7
Okra,20,25,2,5
Onion,20,25,60,180
Palak,20,25,3,5
Pumpkin,20,25,30,90
Spinach,20,25,2,5
Tomato,20,25,7,14
Turnip,20,25,14,21
Watermelon,20,25,7,14
Potato,20,25,30,60
Chili,20,25,5,14
