Food Item,Temp.(in degree C),Time period(in days)
Apple,-1.1,160.0
Apple,-1.0266666666666668,156.0
Apple,-0.9533333333333334,152.0
Apple,-0.8800000000000001,148.0
Apple,-0.8066666666666668,144.0
Apple,-0.7333333333333334,140.0
Apple,-0.6600000000000001,136.0
Apple,-0.5866666666666668,132.0
Apple,-0.5133333333333334,128.0
Apple,-0.44000000000000006,124.0
Apple,-0.3666666666666667,120.0
Apple,-0.29333333333333345,116.0
Apple,-0.22000000000000008,112.0
Apple,-0.14666666666666672,108.0
Apple,-0.07333333333333347,104.0
Apple,0.0,100.0
Apricot,0.0,18.0
Apricot,0.2,17.46666666666667
Apricot,0.4,16.933333333333334
Apricot,0.6000000000000001,16.4
Apricot,0.8,15.866666666666667
Apricot,1.0,15.333333333333332
Apricot,1.2000000000000002,14.8
Apricot,1.4000000000000001,14.266666666666666
Apricot,1.6,13.733333333333334
Apricot,1.8,13.2
Apricot,2.0,12.666666666666666
Apricot,2.2,12.133333333333333
Apricot,2.4000000000000004,11.6
Apricot,2.6,11.066666666666666
Apricot,2.8000000000000003,10.533333333333333
Apricot,3.0,10.0
Avocado,6.0,40.0
Avocado,6.2,39.33333333333333
Avocado,6.4,38.666666666666664
Avocado,6.6,38.0
Avocado,6.8,37.333333333333336
Avocado,7.0,36.666666666666664
Avocado,7.2,36.0
Avocado,7.4,35.333333333333336
Avocado,7.6,34.666666666666664
Avocado,7.8,34.0
Avocado,8.0,33.333333333333336
Avocado,8.2,32.666666666666664
Avocado,8.4,32.0
Avocado,8.6,31.333333333333332
Avocado,8.8,30.666666666666668
Avocado,9.0,30.0
Bael,6.0,15.0
Bael,6.2,14.666666666666666
Bael,6.4,14.333333333333332
Bael,6.6,14.0
Bael,6.8,13.666666666666666
Bael,7.0,13.333333333333332
Bael,7.2,13.0
Bael,7.4,12.666666666666666
Bael,7.6,12.333333333333332
Bael,7.8,12.0
Bael,8.0,11.666666666666666
Bael,8.2,11.333333333333334
Bael,8.4,11.0
Bael,8.6,10.666666666666666
Bael,8.8,10.333333333333334
Bael,9.0,10.0
Banana,13.0,21.0
Banana,13.133333333333333,20.066666666666666
Banana,13.266666666666667,19.133333333333333
Banana,13.4,18.2
Banana,13.533333333333333,17.266666666666666
Banana,13.666666666666666,16.333333333333336
Banana,13.8,15.4
Banana,13.933333333333334,14.466666666666667
Banana,14.066666666666666,13.533333333333333
Banana,14.2,12.6
Banana,14.333333333333334,11.666666666666668
Banana,14.466666666666667,10.733333333333334
Banana,14.6,9.8
Banana,14.733333333333334,8.866666666666667
Banana,14.866666666666667,7.933333333333334
Banana,15.0,7.0
Ber,1.0,35.0
Ber,1.1333333333333333,33.8
Ber,1.2666666666666666,32.6
Ber,1.4,31.4
Ber,1.5333333333333332,30.2
Ber,1.6666666666666665,29.0
Ber,1.8,27.799999999999997
Ber,1.9333333333333333,26.6
Ber,2.0666666666666664,25.4
Ber,2.2,24.2
Ber,2.333333333333333,23.0
Ber,2.466666666666667,21.8
Ber,2.6,20.6
Ber,2.7333333333333334,19.4
Ber,2.8666666666666667,18.2
Ber,3.0,17.0
Date palm,10.0,21.0
Date palm,10.333333333333334,20.53333333333333
Date palm,10.666666666666666,20.066666666666666
Date palm,11.0,19.6
Date palm,11.333333333333334,19.133333333333333
Date palm,11.666666666666666,18.666666666666668
Date palm,12.0,18.2
Date palm,12.333333333333332,17.733333333333334
Date palm,12.666666666666666,17.266666666666666
Date palm,13.0,16.8
Date palm,13.333333333333332,16.333333333333332
Date palm,13.666666666666666,15.866666666666667
Date palm,14.0,15.4
Date palm,14.333333333333332,14.933333333333334
Date palm,14.666666666666666,14.466666666666667
Date palm,15.0,14.0
Grape,0.0,16.0
Grape,0.2,15.600000000000001
Grape,0.4,15.2
Grape,0.6000000000000001,14.8
Grape,0.8,14.4
Grape,1.0,14.0
Grape,1.2000000000000002,13.6
Grape,1.4000000000000001,13.2
Grape,1.6,12.8
Grape,1.8,12.4
Grape,2.0,12.0
Grape,2.2,11.6
Grape,2.4000000000000004,11.2
Grape,2.6,10.8
Grape,2.8000000000000003,10.4
Grape,3.0,10.0
Guava,18.0,14.0
Guava,18.333333333333332,13.733333333333334
Guava,18.666666666666668,13.466666666666667
Guava,19.0,13.2
Guava,19.333333333333332,12.933333333333334
Guava,19.666666666666668,12.666666666666666
Guava,20.0,12.4
Guava,20.333333333333332,12.133333333333333
Guava,20.666666666666668,11.866666666666667
Guava,21.0,11.6
Guava,21.333333333333332,11.333333333333334
Guava,21.666666666666668,11.066666666666666
Guava,22.0,10.8
Guava,22.333333333333332,10.533333333333333
Guava,22.666666666666664,10.266666666666667
Guava,23.0,10.0
Jackfruit,10.0,30.0
Jackfruit,10.333333333333334,29.0
Jackfruit,10.666666666666666,28.0
Jackfruit,11.0,27.0
Jackfruit,11.333333333333334,26.0
Jackfruit,11.666666666666666,25.0
Jackfruit,12.0,24.0
Jackfruit,12.333333333333332,23.0
Jackfruit,12.666666666666666,22.0
Jackfruit,13.0,21.0
Jackfruit,13.333333333333332,20.0
Jackfruit,13.666666666666666,19.0
Jackfruit,14.0,18.0
Jackfruit,14.333333333333332,17.0
Jackfruit,14.666666666666666,16.0
Jackfruit,15.0,15.0
Jamun,8.0,21.0
Jamun,8.133333333333333,20.53333333333333
Jamun,8.266666666666667,20.066666666666666
Jamun,8.4,19.6
Jamun,8.533333333333333,19.133333333333333
Jamun,8.666666666666666,18.666666666666668
Jamun,8.8,18.2
Jamun,8.933333333333334,17.733333333333334
Jamun,9.066666666666666,17.266666666666666
Jamun,9.2,16.8
Jamun,9.333333333333334,16.333333333333332
Jamun,9.466666666666667,15.866666666666667
Jamun,9.6,15.4
Jamun,9.733333333333334,14.933333333333334
Jamun,9.866666666666667,14.466666666666667
Jamun,10.0,14.0
