Food Item,Temp.(in degree C),Time period(in days)
Cabbage,0,16
Cabbage,0.2,15
Cabbage,0.4,14
Cabbage,0.6,13
Cabbage,0.8,12
Cabbage,1,11
Cabbage,1.2,10
Cabbage,1.4,9.5
Cabbage,1.6,9
Cabbage,2,8.75
Cabbage,3,8.5
Cabbage,4,8.25
Cabbage,5,8.7
Cabbage,6,8.45
Cabbage,7,8.2
Cabbage,8,7.95
Cabbage,9,7.7
Cabbage,10,8
Cabbage,11,7.75
Cabbage,12,7.5
Cabbage,13,7.25
Cabbage,14,7
Cabbage,15,7
Cabbage,16,6.75
Cabbage,17,6.5
Cabbage,18,6.25
Cabbage,19,6
Cabbage,20,6
Cabbage,21,5.75
Cabbage,22,5.5
Cabbage,23,5.25
Cabbage,24,5
Cabbage,25,5
