Food Item,Temp.(in degree C),Time period(in days)
Guava,5.0,16.5
Guava,5.5,16.5
Guava,6.0,16.5
Guava,6.5,16.5
Guava,7.0,16.5
Guava,7.5,16.25
Guava,8.0,16.25
Guava,8.5,16.25
Guava,9.0,16.25
Guava,9.5,16.0
Guava,10.0,16.0
Guava,10.5,15.875
Guava,11.0,15.875
Guava,11.5,15.75
Guava,12.0,15.75
Guava,12.5,15.625
Guava,13.0,15.625
Guava,13.5,15.5
Guava,14.0,15.5
Guava,14.5,15.375
Guava,15.0,15.375
Guava,15.5,15.25
Guava,16.0,15.25
Guava,16.5,15.125
Guava,17.0,15.125
Guava,17.5,15.0
Guava,18.0,15.0
Guava,18.5,14.75
Guava,19.0,14.75
Guava,19.5,14.5
Guava,20.0,14.5
Guava,20.5,14.25
Guava,21.0,14.25
Guava,21.5,14.0
Guava,22.0,14.0
Guava,22.5,13.5
Guava,23.0,13.5
Guava,23.5,13.0
Guava,24.0,13.0
Guava,24.5,11.5
Guava,25.0,11.5
