Food Item,Temp.(in degree C),Time period(in days)
Orange,8.0,21.0
Orange,8.45,20.8
Orange,9.2,20.5
Orange,9.7,20.1
Orange,10.0,19.5
Orange,10.4,19.1
Orange,10.8,18.6
Orange,11.3,18.0
Orange,11.6,17.5
Orange,12.1,17.0
Orange,12.6,16.6
Orange,13.1,16.1
Orange,13.4,15.6
Orange,13.8,15.1
Orange,14.3,14.7
Orange,14.9,14.3
Orange,15.2,13.8
Orange,15.7,13.4
Orange,16.2,12.9
Orange,16.5,12.5
Orange,16.9,12.0
Orange,17.5,11.6
Orange,17.8,11.1
Orange,18.2,10.7
Orange,18.6,10.2
Orange,19.1,9.8
Orange,19.5,9.3
Orange,19.9,9.0
Orange,20.5,8.7
Orange,20.8,8.4
Orange,21.2,8.1
Orange,21.6,7.9
Orange,22.1,7.7
Orange,22.5,7.5
Orange,23.0,7.3
Orange,23.4,7.1
Orange,23.8,6.9
Orange,24.2,6.7
Orange,24.8,6.5
Orange,25.2,6.3
Orange,25.5,6.1
Orange,26.0,5.9
Orange,26.4,5.7
Orange,26.8,5.5
Orange,27.2,5.3
Orange,27.5,5.1
Orange,27.9,4.9
Orange,28.4,4.7
Orange,28.9,4.5
