Food Item,Temp.(in degree C),Time period(in days)
Potato,6,35
Potato,7,34.2
Potato,8,33.4
Potato,9,32.6
Potato,10,31.8
Potato,11,31
Potato,12,30.2
Potato,13,29.4
Potato,14,28.6
Potato,15,27.8
Potato,16,27
Potato,17,26.2
Potato,18,25.4
Potato,19,24.6
Potato,20,23.8
Potato,21,23
Potato,22,21.8
Potato,23,20.6
Potato,24,19.4
Potato,25,18.2
Potato,8.5,33.0
Potato,10.5,31.5
Potato,11.5,30.7
Potato,13.5,29.0
Potato,14.5,28.3
Potato,16.5,26.8
Potato,17.5,26.0
Potato,19.5,24.0
Potato,20.5,23.3
Potato,22.5,21.2
Potato,23.5,20.0
Potato,24.5,18.8
