Food Item,Temp.(in degree C),Time period(in days)
Tomato,10.0,35.0
Tomato,10.58,34.8
Tomato,11.17,34.2
Tomato,11.75,33.7
Tomato,12.33,33.2
Tomato,12.92,32.8
Tomato,13.5,32.4
Tomato,14.08,32.0
Tomato,14.67,31.5
Tomato,15.25,31.1
Tomato,15.83,30.7
Tomato,16.42,30.3
Tomato,17.0,29.8
Tomato,17.58,29.4
Tomato,18.17,29.0
Tomato,18.75,28.6
Tomato,19.33,28.1
Tomato,19.92,27.7
Tomato,20.5,27.3
Tomato,21.08,26.9
Tomato,21.67,26.4
Tomato,22.25,26.0
Tomato,22.83,25.6
Tomato,23.42,25.2
Tomato,24.0,24.7
Tomato,24.58,24.3
Tomato,25.17,23.9
Tomato,25.75,23.5
Tomato,26.33,23.0
Tomato,26.92,22.6
Tomato,27.5,22.2
Tomato,28.08,21.8
Tomato,28.67,21.4
Tomato,29.25,20.9
Tomato,29.83,20.5
Tomato,30.42,20.1
Tomato,31.0,19.7
Tomato,31.58,19.3
Tomato,32.17,18.8
Tomato,32.75,18.4
Tomato,33.33,18.0
Tomato,33.92,17.6
Tomato,34.5,17.1
Tomato,35.08,16.7
Tomato,35.67,16.3
Tomato,36.25,15.9
Tomato,36.83,15.5
Tomato,37.42,15.0
Tomato,38.0,14.6
